Značka,Název,Cena,Úhlopříčka,Rozlišení,RAM (GB),Disk (GB),SSD,CPU
HP,ProBook 460 G11,24990,16,1920x1200,32,1000.0,1,Intel Ultra 7-155H
Acer,Acer Nitro V 15,15990,15.6,1920x1080,16,1000.0,1,AMD Ryzen 5-6600H
HP,ProBook 460 G11,23990,16,1920x1200,32,1000.0,1,Intel Ultra 5-125H
Acer,Acer Nitro V 15,25990,15.6,1920x1080,16,1000.0,1,Intel i7-13620H
Acer,Aspire Go 15,9990,15.6,1920x1080,8,512.0,1,AMD Ryzen 5-5625U
HP,ProBook 465 G11,24490,16,1920x1200,32,1000.0,1,AMD Ryzen 7-7735U
MacBook,Air CZ 2025,29990,13.6,2560x1664,16,256.0,1,Apple M4
MacBook,Air CZ 2025,29990,13.6,2560x1664,16,256.0,1,Apple M4
ASUS,TUF Gaming A15 FA507NUR-LP028W,25543,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-7435HS
MacBook,Air CZ 2022,23990,13.6,2560x1664,16,256.0,1,Apple M2
MacBook,Air CZ 2025,35990,13.6,2560x1664,16,512.0,1,Apple M4
MacBook,Pro PRO CZ 2024,59990,14.2,3024x1964,24,512.0,1,Apple M4
MacBook,Air CZ 2025,35990,13.6,2560x1664,16,512.0,1,Apple M4
ASUS,Vivobook 15 X1504VA-BQ575W,15990,15.6,1920x1080,16,512.0,1,Intel Core 5-120U
HP,ProBook 450 G10,22490,15.6,1920x1080,16,1000.0,1,Intel i5-1335U
MacBook,Air CZ 2025,42990,15.3,2880x1864,16,512.0,1,Apple M4
MacBook,Air CZ 2024,26990,13.6,2560x1664,16,256.0,1,Apple M3
Lenovo,Pro 5 16IRX9,44989,16,2560x1600,32,1000.0,1,Intel i9-14900HX
ASUS,ProArt PX13 OLED HN7306WI-OLED008X,54990,13.3,2880x1800,32,2000.0,1,AMD Ryzen AI 9-HX370
MacBook,Pro PRO CZ 2024,59990,14.2,3024x1964,24,512.0,1,Apple M4
ASUS,TUF Gaming A15 FA507NVR-LP010W,28876,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-7435HS
MacBook,Air CZ 2025,29990,13.6,2560x1664,16,256.0,1,Apple M4
MSI,MSI Katana 15 B13VFK-1868XCZ,29890,15.6,1920x1080,16,1000.0,1,Intel i7-13620H
ASUS,Vivobook 15 X1504VA-NJ2201W,12490,15.6,1920x1080,16,512.0,1,Intel i5-1335U
Dell,Dell Vostro 3520,16490,15.6,1920x1080,16,512.0,1,Intel i5-1235U
MacBook,Air CZ 2024,33890,15.3,2880x1864,16,256.0,1,Apple M3
Dell,Dell Latitude 3550,21990,15.6,1920x1080,16,512.0,1,Intel i5-1335U
Acer,Acer Nitro V 16,22990,16,2560x1600,16,1000.0,1,AMD Ryzen 5-8645HS
MacBook,Air CZ 2024,31990,13.6,2560x1664,16,512.0,1,Apple M3
MacBook,Air CZ 2022,24990,13.6,2560x1664,16,256.0,1,Apple M2
Acer,Acer Swift 3,13990,14,1920x1080,16,512.0,1,AMD Ryzen 5-5500U
Acer,Acer Nitro V 15,17990,15.6,1920x1080,16,1000.0,1,AMD Ryzen 5-6600H
ASUS,Vivobook 15 X1504VA-NJ937W,11390,15.6,1920x1080,8,512.0,1,Intel i3-1315U
OMEN,OMEN 16-wf1957nc Shadow,44990,16.1,2560x1440,32,1000.0,1,Intel i7-14700HX
MacBook,Pro CZ 2024,49990,14.2,3024x1964,16,512.0,1,Apple M4
Lenovo,Lenovo LOQ 15IAX9I,17989,15.6,1920x1080,24,512.0,1,Intel i5-12450HX
Acer,Aspire Go 15,13849,15.6,1920x1080,16,512.0,1,AMD Ryzen 5-5625U
ASUS,TUF Gaming A15 FA506NCR-HN021W,22210,15.6,1920x1080,16,1000.0,1,AMD Ryzen 7-7435HS
Acer,Aspire Go 15,15990,15.6,1920x1080,32,1000.0,1,AMD Ryzen 5-5625U
Lenovo,Lenovo LOQ 15ARP9,32989,15.6,1920x1080,24,1000.0,1,AMD Ryzen 7-7435HS
Lenovo,Lenovo ThinkPad E16 Gen 2,25790,16,1920x1200,32,1000.0,1,AMD Ryzen 7-7735HS
Acer,Aspire 5 Steel,14490,15.6,1920x1080,16,512.0,1,Intel i5-12450H
